feature,importance_mean,importance_std
num_pages,-0.0006999999999999784,0.002551470164434606
current_backlog_officer,-0.00459999999999997,0.0041340053217188664
priority,-0.005149999999999977,0.003873306081372863
department,-0.005499999999999982,0.0060415229867972825
officer_experience_years,-0.008649999999999958,0.004733127929815545
routing_path,-0.011249999999999993,0.006309714732062001
required_approvals,-0.011799999999999988,0.00436577599058862
complexity_score,-0.013649999999999973,0.0035288099977187825
assigned_officer_id,-0.01369999999999998,0.006720119046564581
sla_days,-0.019999999999999973,0.0030331501776206192
file_type,-0.021599999999999987,0.003726929030716861
